Start (s),End (s),Scientific name,Common name,Confidence,File
36.0,39.0,Asio flammeus,Short-eared Owl,0.1794,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_164100.wav
36.0,39.0,Pluvialis dominica,American Golden-Plover,0.4829,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_164600.wav
54.0,57.0,Pluvialis dominica,American Golden-Plover,0.2092,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_164600.wav
15.0,18.0,Asio otus,Long-eared Owl,0.3494,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_165600.wav
15.0,18.0,Bucephala albeola,Bufflehead,0.1035,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_170600.wav
36.0,39.0,Aythya valisineria,Canvasback,0.2240,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_172100.wav
21.0,24.0,Cygnus buccinator,Trumpeter Swan,0.1234,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_172600.wav
0,3.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.1957,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
3.0,6.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.1805,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
6.0,9.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.3099,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
6.0,9.0,Calcarius lapponicus,Lapland Longspur,0.2121,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
6.0,9.0,Calidris mauri,Western Sandpiper,0.1025,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
9.0,12.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.6092,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
9.0,12.0,Progne subis,Purple Martin,0.1731,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
9.0,12.0,Calcarius lapponicus,Lapland Longspur,0.1395,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
12.0,15.0,Calcarius lapponicus,Lapland Longspur,0.1224,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
12.0,15.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.1117,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
15.0,18.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.6379,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
15.0,18.0,Progne subis,Purple Martin,0.2754,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
15.0,18.0,Calcarius lapponicus,Lapland Longspur,0.1108,I:/BC_Parks_Mount_Robson/Raw_audio/ARU02/Data\ARU02_20230713_173600.wav
