Start (s),End (s),Scientific name,Common name,Confidence,File
24,27,Charadrius semipalmatus,Semipalmated Plover,0.9983,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
21,24,Anthus rubescens,American Pipit,0.9967,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_075200.wav
30,33,Anthus rubescens,American Pipit,0.9951,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_102100.wav
27,30,Anthus rubescens,American Pipit,0.9924,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_102100.wav
27,30,Charadrius semipalmatus,Semipalmated Plover,0.9911,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
33,36,Anthus rubescens,American Pipit,0.9911,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_091900.wav
30,33,Charadrius semipalmatus,Semipalmated Plover,0.9896,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
6,9,Bartramia longicauda,Upland Sandpiper,0.9885,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230819_185300.wav
24,27,Anthus rubescens,American Pipit,0.9873,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_102100.wav
9,12,Calcarius lapponicus,Lapland Longspur,0.987,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230829_130500.wav
0,3,Spinus pinus,Pine Siskin,0.9859,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_210200.wav
51,54,Spinus pinus,Pine Siskin,0.9852,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230717_080600.wav
57,60,Anthus richardi,Richard's Pipit,0.9827,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230818_201700.wav
42,45,Anthus rubescens,American Pipit,0.9817,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230805_124000.wav
45,48,Anthus rubescens,American Pipit,0.9814,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230901_132600.wav
42,45,Sitta canadensis,Red-breasted Nuthatch,0.9812,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_072400.wav
36,39,Sitta canadensis,Red-breasted Nuthatch,0.9796,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_072400.wav
48,51,Estrilda astrild,Common Waxbill,0.9782,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_212500.wav
6,9,Spinus pinus,Pine Siskin,0.9764,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230816_112300.wav
24,27,Bartramia longicauda,Upland Sandpiper,0.9756,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230819_185300.wav
33,36,Spinus pinus,Pine Siskin,0.9731,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_075600.wav
42,45,Spinus pinus,Pine Siskin,0.9731,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230813_083300.wav
12,15,Vanellus vanellus,Northern Lapwing,0.9728,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230731_095600.wav
33,36,Charadrius semipalmatus,Semipalmated Plover,0.9723,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
30,33,Anthus richardi,Richard's Pipit,0.972,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230729_153800.wav
0,3,Anthus rubescens,American Pipit,0.9714,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230830_120700.wav
24,27,Anthus rubescens,American Pipit,0.9706,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_085000.wav
48,51,Spinus pinus,Pine Siskin,0.9696,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_090900.wav
0,3,Loxia leucoptera,White-winged Crossbill,0.9692,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_061000.wav
54,57,Sitta canadensis,Red-breasted Nuthatch,0.9675,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_072400.wav
24,27,Setophaga coronata,Yellow-rumped Warbler,0.967,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_100700.wav
30,33,Spinus pinus,Pine Siskin,0.9652,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230723_073900.wav
15,18,Spinus pinus,Pine Siskin,0.9648,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230715_113800.wav
3,6,Spinus pinus,Pine Siskin,0.9633,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230818_073700.wav
0,3,Calcarius lapponicus,Lapland Longspur,0.9628,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230829_130500.wav
33,36,Spinus pinus,Pine Siskin,0.9606,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230807_082800.wav
12,15,Estrilda astrild,Common Waxbill,0.9601,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_212500.wav
57,60,Spinus pinus,Pine Siskin,0.9597,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230821_092700.wav
51,54,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.9589,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230722_091300.wav
36,39,Anthus rubescens,American Pipit,0.9587,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_091900.wav
9,12,Spinus pinus,Pine Siskin,0.958,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_082500.wav
21,24,Charadrius semipalmatus,Semipalmated Plover,0.957,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
27,30,Spinus pinus,Pine Siskin,0.9557,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230715_094800.wav
0,3,Corvus corax,Common Raven,0.9556,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_092900.wav
3,6,Anthus rubescens,American Pipit,0.9542,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_115900.wav
